CO_NCM;NO_NCM_ING
74094019;Other plates, strips, copper-nickel alloys, etc.t>0.15mm, coils
39172290;Other rigid tubes, of polymers of propylene
85059011;Electromagnets of the type used in magnetic resonance imaging diagnostic devices
24049200;Other products containing nicotine for absorption of nicotine into the human body for percutaneous application
59039010;Polyester filament fabrics, impregnated or coated with synthetic resins, of a kind used as support for the manufacture of abrasives (sandpaper), in rolls
38249962;Contrasts for diagnostic examinations using magnetic resonance imaging or ultrasound, based on sulfur hexafluoride
38249969;Other contrasts for diagnostic examinations using magnetic resonance imaging or ultrasound
90189097;Devices intended for robotic-assisted surgical procedures
29159070;Perfluorooctanoic acids and their salts
2071434;Chicken feet and paws, edible, frozen
2071439;Other edible chicken offal, frozen
48119020;Other paper, paperboard, cellulose wadding and webs of cellulose fibres, impregnated and coated on both sides with latex in a total proportion by weight of 15 % or more, weighing 105 g/m2 or more but not more than 135 g/m2, of a kind used as a support for the manufacture of abrasives (sandpaper), in rolls
39069052;Sodium salt of poly(acrylamide acid), water soluble, in irregular blocks, pieces, powders, etc.
39069061;Copolymer of potassium acrylate and acrylamide, with distilled water absorption capacity of up to four hundred times its own weight, in irregular blocks, pieces, powders, etc.
39069062;Methyl-ethylene acrylate copolymers with a methyl acrylate content of 50% or more by weight, in irregular blocks, pieces, powders, etc.
39069065;Copolymer of acrylamide and sodium acrylate, in irregular blocks, pieces, powders, etc.
29333394;Remifentanil
59039090;Other impregnated, coated, covered or laminated fabrics, with plastic, excluding those of heading 59.02, not classified in previous codes
85177120;Antennas specifically for cellular base stations
65061090;Other helmets and similar protective headgear
72193400;Cold-rolled prod.of stain.steel, w>=600mm, 0.5mm<=t<=1mm
72193500;Cold-rolled prod.of stain.steel, w>=600mm, t<0.5mm
72199010;Oth.rolled stain.steel, w>=600mm, t<4.75mm, hardn.>=42hrc
72199090;Other rolled stainless steel, w>=600mm
72201100;Hot-rolled stainless steel, w<600mm, t>=4.75mm
72201210;Hot-rolled stainless steel, w<600mm, t<=1.5mm
72201220;Hot-rolled stainless steel<600mm, 1.5mm<t<=3mm
72201290;Other hot-rolled stainless steel<600mm
72202010;Flat-rolled prod.stain.steel, cold-roll.w<=23mm, t<=0.1mm
62029300;Other mantles, etc.of synth/artif fibres, feminine uses
62029900;Other mantles, etc.of oth.textile materials, feminin.uses
62031100;Men's or boys' suits of wool or fine animal hair
62031200;Men's or boys' suits of synthetic fibres
62031900;Men's or boys' suits of other textile materials
62032100;Ensembles of wool or fine animal hair, masculine uses
62032200;Ensembles of cotton, masculine uses
62032300;Ensembles of synthetic fibres, masculine uses
62032900;Ensembles of other textile materials, masculine uses
62032910;Ensembles of wool or fine animal hair, masculine uses
23099070;Preparations with a vitamin B12 content of not less than 0,1 % but not more than 1 % by weight, with a calcium carbonate support, of a kind used in animal feeding
26011220;Iron ores and concentrates, other than roasted iron pyrites (pyrites cinders), in briquettes of a volume of 4 cm³ or more but not exceeding 60 cm³
3091000;Flours/meals/pellets of fish for human consumption
34049022;Waxes prepared based on hydroxystearyl cetyl ether
85043193;Other electrical transformers of a power not exceeding 1 kVA in width, length not exceeding 50 mm and height not exceeding 25 mm, suitable for insertion mounting (PTH - Pin Through Hole) or surface mounting (SMD - Surface Mounted Device)
81126100;Waste and residues of cadmium
85492100;Wastes and residues, and scrap, of the kind principally used for the recovery of precious metals, containing cells, batteries or electrical accumulators, mercury switches, cathode-ray tube glass or other activated glass, or electrical or electronic components containing cadmium, mercury, lead or polychlorinated biphenyls (PCBs)
38085926;Commodities based on N-Ethylperfluoroctane sulfonamide
97052200;Extinct or endangered species and parts thereof
29314912;Diphenylphosphonate(4,4'-bis((dimethoxyphosphinyl)methyl)diphenyl)
29211994;N,N-Dimethylacetylamine
29314939;Other non-halogenated organophosphorus compounds containing a phosphorus atom bonded to an alkyl group (of 1 to 3 carbons), without other carbon atoms, not elsewhere specified
84254100;Built-in jacking systems of a type used in garages
84254200;Jacks and hoists, hydraulic
84254910;Jacks and hoists, hand-operated
84254990;Other jacks and hoists
84261100;Bridges and beams, rolling, of fixed supports
73062100;Pipes iron/steel for casing and tubing of a kind used in drilling for oil or gas
73062900;Other pipes iron/steel for casing and tubing of a kind used in drilling for oil or gas
73063000;Oth.pipes of iron/steel, n/alloy, welded cir.cross-sect.
73064000;Oth.pipes of stainless steel, welded cir.cross-section
73065000;Oth.pipes of oth.alloy steel, welded, etc.circ.cross-sec.
73066000;Other pipes of iron/steel, welded, n/circular
73066100;Other welded pipes, of square or rectangular cross-section
73066900;Other welded pipes, of non-circular cross-section
73069010;Oth.pipes and hollow, of iron/steel, n/alloy, welded, etc.
73069020;Oth.pipes and hollow, stainl.steel, welded/riveted, etc.
73069090;Oth.pipes and hollow, stainl.steel, welded/riveted, etc.
73071100;Moulded fittings f/pipes of non-malleable cast iron
73071910;Moulded fittings f/pipes of malleab.cast iron d>50mm
84304190;Other rotary boring or sinking machinery, self-propelled
84304910;Other drilling of percussion
73158900;Other chains, of cast iron, iron/steel
73159000;Parts of other chains, of iron/steel
73160000;Anchors, grapnels and parts thereof, of cast iron, etc.
73170010;Tack nails, of cast iron/iron/steel, incl.heads oth.mater
73170020;Curved wire staples, of cast iron, iron or steel
73170030;Carding tacks, of cast iron/iron/steel, f/tex.car.machin.
73170090;Nails, thumb-tacks, similar articles, cast iron/iron/steel
73181100;Coach screws, cast iron/iron/steel
73181200;Other wood screws, of cast iron/iron/steel
73181300;Hooks and rings, of cast iron/iron/steel
73181400;Self-tapping screws, of cast iron, iron or steel
73181500;Other screws/bolts/nuts, of cast iron/iron/steel
73181600;Nuts, of cast iron, iron or steel
73181900;Other threaded articles, of cast iron, iron or steel
73182100;Pressure or safety washers, of cast iron, etc
73182200;Other iron washers, of cast iron, iron/steel
73182300;Rivets of cast iron, iron or steel
79011210;Zinc n/alloyed , cont.zinc<99.99%, in ingoats
79011290;Other unwrought zinc of zinc n/al.cont.zinc<99, 99%
79012010;Zinc alloys, in ingots
79012090;Other unwrought of zinc alloys
79020000;Zinc waste and scrap
79031000;Zinc dust
79039000;Zinc powders and flakes
79040000;Zinc bars, rods, profiles and wire
79050000;Zinc plates, sheets and strips
79060000;Zinc tubes and its accessories
79070000;Other articles of zinc
79070010;Zinc tubes and its accessories
79070090;Other articles of zinc
80011000;Tin not alloyed, unwrought
85176221;Public central, eletron. commutator, includ. traffic
85176222;Private autom.central, capac.<=25 internal lines
85176223;Priv. autom.central, capac.>25 intern. lines and <=200 intern. lines
85176224;Private autom.central, capac.>200 internal lines
85176229;Other commut. aut. centr. for teleph.line excep. videotext
85451920;Blocos grafite tipos utiliz c/ catodos em cubas eletrol
85451990;Other carbon electrodes, for electric use
85452000;Carbon brushes, for electric use
85459010;Electrics battery carbons
85459020;Heating resistors,n/coated or fitted with terminals
85459030;"Connection bases for electrodes (""nipples"")"
85459090;Oth.carbon and articles of graphite/carbon f/electr.use
85461000;Glass insulators for electric use
85462000;Ceramics insulators for electric use
85469000;Insulators of other matters for electric use
85471000;Insulating fittings of ceramics f/mach.appar.elect.inst
90021120;Mounted object.lenses,zoom>=20,f/television cameras
90021190;Oth.mounted object.lenses f/cameras,photogr.apparatus
90021900;Other mounted objective lenses
90022010;Mounted polarizing filters
90022090;Mounted  optical filters
88026000;Spacecraft and its spacecraft launch vehicles,etc.
85176293;Other person. recep.appar./equip.of radiomessages
85176294;Protocol translators for intercon.networks
85176295;Fixed terminals without own source of energy, mono-chanels
85176299;Other appar/equip. of radio-teleph., radio-telegraph
85176900;Other eletric. appar./equip.for teleph./telegr. by wire
85177010;Printed circuits with assembled eletr./eletron. components
85177021;Specif.antenna for cellular telephone, except.telescopic
85177029;Other antennas except.for used in cellular telephone
85177091;Cabinets, backstages and  framework f/transm./rec. appar.
85177092;Recorders/select.for autom. central of telef. etc.
85177099;Other parts for appar./equip. of teleph./telegr.
85178000;Oth.telephonic or telegraphic apparatus, telecommunic.
85178010;Apparatus of administration of nets (tmn)
85178021;Centralizing of lines of subscribers
85178022;Centralizing digital circuits (dcme)
85178029;Oth.telephonic/telegraphic electr.centralizing
85178090;Oth.electrical apparatus f/telephony/telegraphy
85309000;Parts of electrical signalling appar.etc.f/railways, etc
85176296;Other appliances of radio-telecom, radio-telegraph, analog.
85311010;Fire-alarms and overheating alarms
85311090;Other electric alarms, f/protect.against robbery
85312000;Indicator panels incor.liquid crystal/light emit.diodes
85318000;Other electric sound or visual signalling apparatus
85319000;Parts of electric sound or visual signalling apparatus
85321000;Fixed capacitors, f/elect.line 50/60hz, pot>=0.5kvar
85322110;Elect.capacit., fixed of tantalus, f/surf.mounted device
85322111;Electr.capacit., fixed of tantalus, surf.moun.dev.t<=125v
85322119;Oth.elec.capacit., fixed of tantalus, f/surf.mount.device
85322190;Other electrical capacitors, fixed of tantalus
85322200;Electrolytic fixed capacitors, of aluminium
85322310;Fixed capacitors with ceram.diel.single layer, surf.moun
85322390;Oth.fixed capacitors with ceram.diel.single layer
85322410;Oth.fixed capacit.with ceram.diel.surf.moun.device
85437099;Other eletric.machinery with sel function, not mentioned
85438100;Proximity cards and tags
85438911;Radio-freq.amplifier f/transmit.microwave sign,hpa,etc
87083019;Mounted brakes and servo-brakes for vehicles/automob.
84336021;Machines for cleaning, sorting or grading eggs, c>=36000/hour
84336029;Other machines for cleaning, sorting or grading eggs
84336090;Machin.f/cleaning/sorting/grading eggs and agric.prod.
84339010;Parts of lawn mowers
84339090;Parts of lawn mowers f/harvesting/threshing, etc
84341000;Milking machines
84342010;Machinery for processing milk
73259100;Grind.balls, etc.moulded, cast iron/iron/steel, f/mills
73259910;Other moulded articles, of steel
73259990;Other moulded articles, of cast iron or iron
56039100;Other non-wovens, weight<=25g/m2
56039110;Outros falsos tecidos de poliester,peso<=25g/m2
56039120;Outros falsos tecidos de polipropileno,peso<=25g/m2
56039130;Outros falsos tecidos de raiom viscose,peso<=25g/m2
56039190;Outros falsos tecidos,peso<=25g/m2
56039210;Oth.non-wovens of high densit.polyethylene 25<w<=70g/m2
56039220;Outros falsos tecidos de poliester,25g/m2<peso<=70g/m2
56039230;Outros falsos tecidos polipropileno,25g/m2<peso<=70g/m2
56039240;Outros falsos tecidos raiom viscose,25g/m2<peso<=70g/m2
56039290;Other non-wovens, 25g/m2<weight<=70g/m2
56039310;Oth.non-wovens of high density polyethyl.70<p<=150g/m2
56039320;Outros falsos tecidos de poliester,70g/m2<peso<=150g/m2
60059090;Other fabrics of warp mesh
60061000;Other fabrics of mesh of wool or fine animal hair
60062100;Other fabrics of mesh, of cotton, raw or bleached
60062200;Other fabrics of mesh, of cotton, dyed
60062300;Oth.fabrics of mesh, of cotton, of yarn of differ.colours
60062400;Oth.fabrics of mesh, of cotton, printed
60063100;Other fabrics of mesh, synthetic fibres, raw or bleached
60063110;Other knitted or crocheted fabrics of synthetic fibers, unbleached or bleached, of nylon or other polyamides
60063120;Other knitted or crocheted fabrics of synthetic fibers, unbleached or bleached, of polyesters
32041911;Carotenoids
32041912;Preparations c/beta-carotene, etc.to color food
32041913;Other preparations to color food
32041919;Other preparations with a base of caratenoids
32041920;Dyes soluble in solvent (solvent dyes)
32041930;Azo dyes
32041990;Oth.colouring matter organic synthetic and its prepar.
71104100;Iridium, osmium and ruthen.unwrought or in powder form
71104900;Iridium, osmium and ruthenium, in semi-manufactured form
71110000;Base metals/silver/gold, clad with platinum, n/worked, etc
